pp,group,group2,age,age_cont,gender,race,g edu,tempord,tempord_b,tempord_w,tempord_bw,recog,recogimg,recogtxt,scaledcorz_within,scaledcorz_ktoa,scaledcorz_adultlike,cantab468,cantab12,cantabstrat,kbit,nbps,unitlength
12,A,A,18,,F,W,7,28,0.538461538,0.846153846,0.714285714,20,10,10,0.484329359,,0.484329359,3,55,12,92,45,27.89130435
13,A,A,21,,F,W,4.5,37,0.923076923,0.846153846,1,20,10,10,0.612943311,,0.612943311,5,9,10,84,51,24.67307692
14,A,A,21,,F,W,6,36,0.846153846,0.923076923,0.928571429,16,8,8,0.892664289,,0.892664289,20,5,13,98,19,64.15
15,A,A,21,,F,N,,37,1,0.923076923,0.857142857,18,10,8,0.565701056,,0.565701056,15,28,14,82,43,29.15909091
16,A,A,20,,F,B,3,36,0.923076923,0.923076923,0.857142857,20,10,10,0.480705584,,0.480705584,21,46,17,84,20,61.0952381
17,A,A,19,,M,M,2.5,34,0.923076923,0.846153846,0.785714286,19,9,10,0.53170902,,0.53170902,0,42,4,91,137,9.297101449
18,A,A,20,,F,W,3.5,35,0.846153846,0.846153846,0.928571429,19,9,10,0.699358441,,0.699358441,0,23,4,100,38,32.8974359
19,A,A,19,,M,W,5,37,1,0.846153846,0.928571429,20,10,10,0.435414179,,0.435414179,8,13,17,101,28,44.24137931
20,A,A,18,,F,B,6,38,0.923076923,0.923076923,1,20,10,10,0.403844361,,0.403844361,0,12,6,90,17,71.27777778
21,A,A,18,,F,M,3.5,29,0.615384615,0.846153846,0.714285714,19,9,10,0.425388062,,0.425388062,16,41,19,93,33,37.73529412
22,A,A,18,,F,B,5,36,0.769230769,0.923076923,1,19,10,9,0.661269923,,0.661269923,0,26,11,95,22,55.7826087
23,A,A,18,,F,W,3,38,0.923076923,0.923076923,1,20,10,10,0.344140495,,0.344140495,9,49,10,97,40,31.29268293
24,A,A,18,,F,W,2,34,0.846153846,0.846153846,0.857142857,16,7,9,0.439432163,,0.439432163,19,42,18,80,17,71.27777778
26,A,A,20,,M,W,7,36,0.846153846,0.923076923,0.928571429,20,10,10,0.539038843,,0.539038843,6,36,16,97,42,29.8372093
27,A,A,18,,F,A,5,37,0.923076923,0.923076923,0.928571429,20,10,10,0.450697169,,0.450697169,16,22,13,110,69,18.32857143
28,A,A,18,,F,B,2,37,1,0.846153846,0.928571429,19,10,9,0.518527198,,0.518527198,19,45,16,98,30,41.38709677
29,A,A,21,,F,W,3.5,30,0.692307692,0.692307692,0.857142857,20,10,10,0.619952407,,0.619952407,16,53,15,114,33,37.73529412
30,A,A,18,,F,B,3.5,31,0.846153846,0.846153846,0.642857143,15,9,6,1.028010634,,1.028010634,21,31,19,90,11,106.9166667
31,A,A,17,,M,O,3,38,0.923076923,0.923076923,1,20,10,10,0.51718501,,0.51718501,7,0,12,105,35,35.63888889
32,A,A,18,,F,W,6,38,1,1,0.857142857,17,9,8,0.429746567,,0.429746567,22,33,17,103,33,37.73529412
33,K,OK,7,7.643835616,M,W,7,31,0.615384615,0.846153846,0.857142857,20,10,10,0.775298706,0.248701302,0.248701302,4,30,14,113,11,106.9166667
34,A,A,22,,F,A,7,34,0.846153846,0.769230769,0.857142857,17,10,7,0.63387442,,0.63387442,12,19,15,106,34,36.65714286
35,A,A,19,,F,B,3,40,0.846153846,0.923076923,0.785714286,20,10,10,0.596735041,,0.596735041,3,27,17,84,14,85.53333333
36,A,A,18,,F,W,3,29,1,1,1,19,10,9,0.549306144,,0.549306144,1,15,15,108,22,55.7826087
37,K,OK,6,6.668493151,F,A,6,29,0.615384615,0.769230769,0.785714286,16,9,7,0.563799913,0.112471866,0.112471866,19,39,17,100,29,42.76666667
38,A,A,17,,F,W,7,32,1,0.846153846,1,19,10,10,0.58194729,,0.58194729,4,38,16,98,48,26.18367347
39,A,A,19,,F,B,2.5,32,0.846153846,0.769230769,0.785714286,15,7,8,,,,24,35,20,85,,
