PCC,V1,LHC,RHC,LAG,RAG,PCC_SM,V1_SM,LHC_SM,RHC_SM,LAG_SM,RAG_SM,adults,kids
23,28,27,27,19,20,23,30,27,27,19,20,84,64
62,53,71,79,61,62,62,88,76,78,61,62,158,86
103,92,100,257,126,116,229,158,127,120,88,103,186,184
128,457,127,419,231,230,290,197,190,192,177,179,241,239
181,505,190,468,269,266,397,506,254,256,231,231,369,266
397,545,254,551,470,367,425,545,430,470,269,266,395,371
425,598,430,598,513,476,476,598,471,514,469,475,463,400
625,657,471,651,532,506,551,657,510,554,532,530,519,520
672,711,549,674,754,530,625,712,558,726,754,753,621,546
716,751,606,726,956,612,673,751,607,779,956,815,660,604
752,782,675,918,1058,753,753,796,674,841,1058,917,750,750
789,797,922,979,1082,851,793,838,729,920,1104,956,766,849
1116,837,960,1017,1111,956,843,885,791,972,1169,1057,831,875
1347,877,1062,1062,1168,1057,956,952,839,1058,1224,1086,991,916
1378,909,1236,1129,1196,1114,1349,1052,1063,1135,1351,1113,1084,971
1438,953,1394,1178,1225,1170,1379,1237,1380,1165,1437,1170,1110,980
1471,1052,1443,1436,1303,1223,1438,1287,1442,1385,1491,1224,1209,995
1491,1237,1497,1500,1351,1260,1484,1322,1497,1440,1529,1351,1346,1124
1527,1516,1530,1528,1437,1306,1527,1516,1530,1507,1571,1438,1520,1140
1576,1578,1576,1571,1490,1351,1576,1578,1576,1572,1594,1493,1556,1285
