,index,dissimvalues,pairtype,subjnum,age
0,within,1.087195600389954,within,sub-1000,adult
1,boundary,0.5584883937587706,unique,sub-1000,adult
2,within,1.1983132515639368,within,sub-1000,adult
3,boundary,0.5815710841086454,shared,sub-1000,adult
4,within,0.8694509845056776,within,sub-1000,adult
5,boundary,0.5419871836373975,unique,sub-1000,adult
6,within,0.9852026859191592,within,sub-1000,adult
7,boundary,1.1722577175085431,unique,sub-1000,adult
8,within,0.5385424061977184,within,sub-1000,adult
9,boundary,0.32236498975321604,shared,sub-1000,adult
10,within,0.7178416317430725,within,sub-1000,adult
11,boundary,0.27723099386080163,shared,sub-1000,adult
12,within,0.9230217429013955,within,sub-1000,adult
13,boundary,0.3487728741310465,unique,sub-1000,adult
14,within,0.9298862561473159,within,sub-1000,adult
15,boundary,0.675006876389112,unique,sub-1000,adult
16,within,0.5719066586496306,within,sub-1000,adult
17,boundary,0.7513371998647131,shared,sub-1000,adult
18,within,0.7664236347657323,within,sub-1000,adult
19,boundary,0.9397370029638468,unique,sub-1000,adult
20,within,1.0528805401136838,within,sub-1001,adult
21,boundary,0.8878053753534204,unique,sub-1001,adult
22,within,0.7553768236161593,within,sub-1001,adult
23,boundary,1.210709405420464,shared,sub-1001,adult
24,within,0.744289020850871,within,sub-1001,adult
25,boundary,0.4668711895196318,unique,sub-1001,adult
26,within,0.5898961650069288,within,sub-1001,adult
27,boundary,0.6584833083538296,unique,sub-1001,adult
28,within,0.7554951550993134,within,sub-1001,adult
29,boundary,1.0041853631912534,shared,sub-1001,adult
30,within,0.4984782663569458,within,sub-1001,adult
31,boundary,0.5766249241725621,shared,sub-1001,adult
32,within,0.42168057230067957,within,sub-1001,adult
33,boundary,0.9172687585453259,unique,sub-1001,adult
34,within,0.8738951925514135,within,sub-1001,adult
35,boundary,0.2780468505964002,unique,sub-1001,adult
36,within,1.1769911256751406,within,sub-1001,adult
37,boundary,0.7323272501386539,shared,sub-1001,adult
38,within,0.5073274016731,within,sub-1001,adult
39,boundary,0.9742426069130726,unique,sub-1001,adult
40,within,0.9329351738096368,within,sub-1002,adult
41,boundary,0.9198049148360126,unique,sub-1002,adult
42,within,0.8620810840381711,within,sub-1002,adult
43,boundary,0.19821963020465894,shared,sub-1002,adult
44,within,0.26598298626541284,within,sub-1002,adult
45,boundary,0.9090295221208737,unique,sub-1002,adult
46,within,1.1636336447216142,within,sub-1002,adult
47,boundary,0.2211422774991274,unique,sub-1002,adult
48,within,0.8174606292493375,within,sub-1002,adult
49,boundary,0.8679843109119344,shared,sub-1002,adult
50,within,0.37560056270129216,within,sub-1002,adult
51,boundary,1.0382620649658518,shared,sub-1002,adult
52,within,0.40545450937948235,within,sub-1002,adult
53,boundary,0.729212656595134,unique,sub-1002,adult
54,within,0.5332409211747986,within,sub-1002,adult
55,boundary,0.9992704946868203,unique,sub-1002,adult
56,within,0.9059904484684282,within,sub-1002,adult
57,boundary,0.6430607985192265,shared,sub-1002,adult
58,within,0.682529493740579,within,sub-1002,adult
59,boundary,1.1064014140794176,unique,sub-1002,adult
60,within,0.4890121302298278,within,sub-1006,adult
61,boundary,0.7681287114862958,unique,sub-1006,adult
62,within,0.6539102359919551,within,sub-1006,adult
63,boundary,0.7435198388913932,shared,sub-1006,adult
64,within,0.7514665551377528,within,sub-1006,adult
65,boundary,1.0985861670397847,unique,sub-1006,adult
66,within,0.5701170480922193,within,sub-1006,adult
67,boundary,0.7993455950922947,unique,sub-1006,adult
68,within,0.5135253636646,within,sub-1006,adult
69,boundary,0.516127010292829,shared,sub-1006,adult
70,within,0.30703733223069796,within,sub-1006,adult
71,boundary,1.0593071824733633,shared,sub-1006,adult
72,within,0.5402048906400261,within,sub-1006,adult
73,boundary,1.2664248866311554,unique,sub-1006,adult
74,within,1.5705254688915842,within,sub-1006,adult
75,boundary,0.26897903672341206,unique,sub-1006,adult
76,within,0.42520463528477936,within,sub-1006,adult
77,boundary,1.1400161897961134,shared,sub-1006,adult
78,within,0.8645030906070794,within,sub-1006,adult
79,boundary,0.6965050386507147,unique,sub-1006,adult
80,within,0.693246066664033,within,sub-1007,adult
81,boundary,0.20083063230763787,unique,sub-1007,adult
82,within,0.46677247326147464,within,sub-1007,adult
83,boundary,0.5380953842385239,shared,sub-1007,adult
84,within,0.7700778942007567,within,sub-1007,adult
85,boundary,0.413617134091563,unique,sub-1007,adult
86,within,1.2646352062518433,within,sub-1007,adult
87,boundary,0.9202388511024113,unique,sub-1007,adult
88,within,0.7495476444432491,within,sub-1007,adult
89,boundary,0.6465130785244612,shared,sub-1007,adult
90,within,0.26790611552628907,within,sub-1007,adult
91,boundary,0.2108782294795587,shared,sub-1007,adult
92,within,0.41012008989965054,within,sub-1007,adult
93,boundary,0.7299564805587155,unique,sub-1007,adult
94,within,0.913351496115962,within,sub-1007,adult
95,boundary,0.5997285733816635,unique,sub-1007,adult
96,within,0.4404567113025585,within,sub-1007,adult
97,boundary,0.38824448490466634,shared,sub-1007,adult
98,within,0.40432036603079224,within,sub-1007,adult
99,boundary,0.9388171512976354,unique,sub-1007,adult
100,within,0.7934358272509492,within,sub-1009,adult
101,boundary,1.0071070172271963,unique,sub-1009,adult
102,within,0.371677411554704,within,sub-1009,adult
103,boundary,1.125612472319432,shared,sub-1009,adult
104,within,0.34083464112776685,within,sub-1009,adult
105,boundary,0.5349647079676085,unique,sub-1009,adult
106,within,0.5664097469122085,within,sub-1009,adult
107,boundary,1.1590178319156572,unique,sub-1009,adult
108,within,0.34231429021101367,within,sub-1009,adult
109,boundary,0.9773962100686571,shared,sub-1009,adult
110,within,0.7918297535659197,within,sub-1009,adult
111,boundary,0.34808943231343437,shared,sub-1009,adult
112,within,0.8727128656190551,within,sub-1009,adult
113,boundary,0.7177827829751787,unique,sub-1009,adult
114,within,0.5246588735885043,within,sub-1009,adult
115,boundary,0.828900170729898,unique,sub-1009,adult
116,within,0.6457283728257894,within,sub-1009,adult
117,boundary,0.5337924824784649,shared,sub-1009,adult
118,within,0.6545690680195118,within,sub-1009,adult
119,boundary,0.5992258437889384,unique,sub-1009,adult
120,within,0.5490201697648387,within,sub-1011,adult
121,boundary,0.8450288409165635,unique,sub-1011,adult
122,within,0.37660356870988465,within,sub-1011,adult
123,boundary,0.908592163426734,shared,sub-1011,adult
124,within,0.8544663919049691,within,sub-1011,adult
125,boundary,0.8622099946860753,unique,sub-1011,adult
126,within,0.5842979566679675,within,sub-1011,adult
127,boundary,0.6369780319510143,unique,sub-1011,adult
128,within,0.3933346981383795,within,sub-1011,adult
129,boundary,0.5555198768018348,shared,sub-1011,adult
130,within,0.5669478629514255,within,sub-1011,adult
131,boundary,0.5744823343422241,shared,sub-1011,adult
132,within,0.8795785856992416,within,sub-1011,adult
133,boundary,0.2630608183424894,unique,sub-1011,adult
134,within,0.4452638416340833,within,sub-1011,adult
135,boundary,0.5070454798020217,unique,sub-1011,adult
136,within,0.9010726084949532,within,sub-1011,adult
137,boundary,0.40252838198153773,shared,sub-1011,adult
138,within,1.0399027308440016,within,sub-1011,adult
139,boundary,0.9555784993476026,unique,sub-1011,adult
140,within,0.7566343415060912,within,sub-1012,adult
141,boundary,1.0268162478354355,unique,sub-1012,adult
142,within,1.3149935843383287,within,sub-1012,adult
143,boundary,0.5447647702251981,shared,sub-1012,adult
144,within,1.112097075308603,within,sub-1012,adult
145,boundary,0.6694726911031792,unique,sub-1012,adult
146,within,1.1537764312785128,within,sub-1012,adult
147,boundary,0.604165426038934,unique,sub-1012,adult
148,within,0.6231653861296991,within,sub-1012,adult
149,boundary,0.7988256663748408,shared,sub-1012,adult
150,within,0.8209796876559838,within,sub-1012,adult
151,boundary,0.4102450021339805,shared,sub-1012,adult
152,within,0.2628169292873822,within,sub-1012,adult
153,boundary,1.2614709427212785,unique,sub-1012,adult
154,within,0.8613798171225628,within,sub-1012,adult
155,boundary,0.9335054353240749,unique,sub-1012,adult
156,within,1.1073589708853928,within,sub-1012,adult
157,boundary,0.9946668227518137,shared,sub-1012,adult
158,within,0.9991098261562443,within,sub-1012,adult
159,boundary,0.6929881572168666,unique,sub-1012,adult
160,within,0.6234586033644988,within,sub-1015,adult
161,boundary,0.9464213947486735,unique,sub-1015,adult
162,within,1.3463929071494305,within,sub-1015,adult
163,boundary,1.5812899514745153,shared,sub-1015,adult
164,within,0.747638490846166,within,sub-1015,adult
165,boundary,0.05910727450624942,unique,sub-1015,adult
166,within,0.5781122391283462,within,sub-1015,adult
167,boundary,0.5894957494367672,unique,sub-1015,adult
168,within,0.31923162653290627,within,sub-1015,adult
169,boundary,0.31269242975024925,shared,sub-1015,adult
170,within,0.7829275871257285,within,sub-1015,adult
171,boundary,0.6229362932472464,shared,sub-1015,adult
172,within,1.0852953512058041,within,sub-1015,adult
173,boundary,0.6349788896255278,unique,sub-1015,adult
174,within,0.4069313466063669,within,sub-1015,adult
175,boundary,0.8699730660714116,unique,sub-1015,adult
176,within,0.8570389300919319,within,sub-1015,adult
177,boundary,0.43146058175478885,shared,sub-1015,adult
178,within,0.9125002446842471,within,sub-1015,adult
179,boundary,0.6201210185709118,unique,sub-1015,adult
180,within,0.5618011961339684,within,sub-1016,adult
181,boundary,0.37284713364274247,unique,sub-1016,adult
182,within,1.3203871457407683,within,sub-1016,adult
183,boundary,1.3869072066055943,shared,sub-1016,adult
184,within,0.5425156440228778,within,sub-1016,adult
185,boundary,1.3710736500379872,unique,sub-1016,adult
186,within,0.9594529513648014,within,sub-1016,adult
187,boundary,0.5534277737806034,unique,sub-1016,adult
188,within,1.1630148505915074,within,sub-1016,adult
189,boundary,0.45596662533219,shared,sub-1016,adult
190,within,1.4343710369813092,within,sub-1016,adult
191,boundary,1.1673406198958858,shared,sub-1016,adult
192,within,0.575019423925796,within,sub-1016,adult
193,boundary,0.7747706174866459,unique,sub-1016,adult
194,within,0.6817945059875676,within,sub-1016,adult
195,boundary,1.1070343565026208,unique,sub-1016,adult
196,within,0.5271954239373187,within,sub-1016,adult
197,boundary,0.48384234575710927,shared,sub-1016,adult
198,within,1.052611877424194,within,sub-1016,adult
199,boundary,0.5552028839083812,unique,sub-1016,adult
200,within,1.5238819250456088,within,sub-1017,adult
201,boundary,0.7232699823985039,unique,sub-1017,adult
202,within,0.4498030754517689,within,sub-1017,adult
203,boundary,0.5031278052563912,shared,sub-1017,adult
204,within,1.149509365890526,within,sub-1017,adult
205,boundary,0.6977946181001358,unique,sub-1017,adult
206,within,0.6457958949824607,within,sub-1017,adult
207,boundary,1.0248814510799196,unique,sub-1017,adult
208,within,0.31218828958097256,within,sub-1017,adult
209,boundary,0.06987600129198046,shared,sub-1017,adult
210,within,1.1155031202960106,within,sub-1017,adult
211,boundary,0.41449992805430946,shared,sub-1017,adult
212,within,0.5256239831385188,within,sub-1017,adult
213,boundary,0.8053043826944041,unique,sub-1017,adult
214,within,1.0077304629489163,within,sub-1017,adult
215,boundary,1.3306608529956816,unique,sub-1017,adult
216,within,0.48621039973070845,within,sub-1017,adult
217,boundary,0.6384848484052805,shared,sub-1017,adult
218,within,0.4406449169629063,within,sub-1017,adult
219,boundary,0.25410410908296244,unique,sub-1017,adult
220,within,0.6828525639085914,within,sub-1019,adult
221,boundary,0.3653951422239602,unique,sub-1019,adult
222,within,0.5733266136716455,within,sub-1019,adult
223,boundary,0.8941012714695704,shared,sub-1019,adult
224,within,0.7462344559543704,within,sub-1019,adult
225,boundary,0.7189525647934357,unique,sub-1019,adult
226,within,0.7574854640533024,within,sub-1019,adult
227,boundary,1.209762643289363,unique,sub-1019,adult
228,within,1.134129767008046,within,sub-1019,adult
229,boundary,1.5047069545084433,shared,sub-1019,adult
230,within,0.5226439605941803,within,sub-1019,adult
231,boundary,0.3912570653023605,shared,sub-1019,adult
232,within,0.42106012915564484,within,sub-1019,adult
233,boundary,0.9399562889838198,unique,sub-1019,adult
234,within,0.6290780493466613,within,sub-1019,adult
235,boundary,0.7697762934292693,unique,sub-1019,adult
236,within,1.214286497541542,within,sub-1019,adult
237,boundary,1.0061270214166134,shared,sub-1019,adult
238,within,0.5777088926479157,within,sub-1019,adult
239,boundary,0.41734430741451034,unique,sub-1019,adult
240,within,0.36430356127003516,within,sub-1023,adult
241,boundary,0.2239992331674031,unique,sub-1023,adult
242,within,0.7525363000493024,within,sub-1023,adult
243,boundary,0.15745034193160246,shared,sub-1023,adult
244,within,0.9636454281084397,within,sub-1023,adult
245,boundary,0.647604386191723,unique,sub-1023,adult
246,within,0.33078140378337195,within,sub-1023,adult
247,boundary,1.010413806275956,unique,sub-1023,adult
248,within,0.6921887159333883,within,sub-1023,adult
249,boundary,0.6677284871150393,shared,sub-1023,adult
250,within,1.626691781946983,within,sub-1023,adult
251,boundary,0.7625901996823335,shared,sub-1023,adult
252,within,0.24048665364176391,within,sub-1023,adult
253,boundary,1.4826684491276367,unique,sub-1023,adult
254,within,0.1488783301110176,within,sub-1023,adult
255,boundary,0.17317156442256287,unique,sub-1023,adult
256,within,0.6407441011535098,within,sub-1023,adult
257,boundary,0.6840441084631499,shared,sub-1023,adult
258,within,0.5150320476078105,within,sub-1023,adult
259,boundary,0.5951244003897503,unique,sub-1023,adult
260,within,0.29728129815423754,within,sub-1024,adult
261,boundary,0.5652570992956598,unique,sub-1024,adult
262,within,0.917033341817916,within,sub-1024,adult
263,boundary,0.8432271975717807,shared,sub-1024,adult
264,within,0.857670839445865,within,sub-1024,adult
265,boundary,1.100158578526561,unique,sub-1024,adult
266,within,0.4411669861456824,within,sub-1024,adult
267,boundary,1.1509669896676318,unique,sub-1024,adult
268,within,0.548316472159528,within,sub-1024,adult
269,boundary,1.1312602240182998,shared,sub-1024,adult
270,within,0.9740877403750252,within,sub-1024,adult
271,boundary,1.2168672912308058,shared,sub-1024,adult
272,within,1.5743160263422769,within,sub-1024,adult
273,boundary,0.8833304224126006,unique,sub-1024,adult
274,within,1.2913800468062404,within,sub-1024,adult
275,boundary,0.9147836136195722,unique,sub-1024,adult
