,index,dissimvalues,pairtype,subjnum,age
0,within,0.5482138977391736,within,sub-1000,kid
1,boundary,0.4586934181789768,unique,sub-1000,kid
2,within,0.4308349059205202,within,sub-1000,kid
3,boundary,0.17382092541815275,unique,sub-1000,kid
4,within,0.4900846262621439,within,sub-1000,kid
5,boundary,0.6395458833191748,shared,sub-1000,kid
6,within,1.1806800050584323,within,sub-1000,kid
7,boundary,0.5565950224224793,unique,sub-1000,kid
8,within,0.4338325340748327,within,sub-1000,kid
9,boundary,0.8530694380325078,unique,sub-1000,kid
10,within,0.402357832317891,within,sub-1000,kid
11,boundary,0.23655369523531145,shared,sub-1000,kid
12,within,0.5052120391133992,within,sub-1000,kid
13,boundary,0.6515245115793695,unique,sub-1000,kid
14,within,0.5669364160466657,within,sub-1000,kid
15,boundary,0.6674464843684824,shared,sub-1000,kid
16,within,0.244646071045601,within,sub-1000,kid
17,boundary,0.9716427757556734,unique,sub-1000,kid
18,within,0.5859996196383186,within,sub-1000,kid
19,boundary,0.7668406459896491,shared,sub-1000,kid
20,within,0.6708762659776839,within,sub-1001,kid
21,boundary,0.3745918040992531,unique,sub-1001,kid
22,within,0.5823203553516507,within,sub-1001,kid
23,boundary,0.36307837721604586,unique,sub-1001,kid
24,within,0.6107216230078979,within,sub-1001,kid
25,boundary,1.0580443138802889,shared,sub-1001,kid
26,within,0.551754713857419,within,sub-1001,kid
27,boundary,0.8689116898202769,unique,sub-1001,kid
28,within,0.8169563915566911,within,sub-1001,kid
29,boundary,0.5724718309855176,unique,sub-1001,kid
30,within,0.556252569130079,within,sub-1001,kid
31,boundary,0.9073533708434639,shared,sub-1001,kid
32,within,0.31572122276401415,within,sub-1001,kid
33,boundary,1.17037876846537,unique,sub-1001,kid
34,within,0.8807566218740671,within,sub-1001,kid
35,boundary,0.4897706694610856,shared,sub-1001,kid
36,within,0.4520549160970052,within,sub-1001,kid
37,boundary,0.583614941671868,unique,sub-1001,kid
38,within,0.3801732033190103,within,sub-1001,kid
39,boundary,0.46165686297869135,shared,sub-1001,kid
40,within,0.6045288306580228,within,sub-1002,kid
41,boundary,0.440492373628423,unique,sub-1002,kid
42,within,0.7261940211942377,within,sub-1002,kid
43,boundary,0.8572232034690226,unique,sub-1002,kid
44,within,0.42108749112570665,within,sub-1002,kid
45,boundary,0.14979347078649663,shared,sub-1002,kid
46,within,1.1893837686000674,within,sub-1002,kid
47,boundary,0.5135482190807986,unique,sub-1002,kid
48,within,0.5615793588675511,within,sub-1002,kid
49,boundary,0.4389902258355052,unique,sub-1002,kid
50,within,0.8075367919438144,within,sub-1002,kid
51,boundary,0.9430241796264269,shared,sub-1002,kid
52,within,0.774240833628796,within,sub-1002,kid
53,boundary,0.8800650386033347,unique,sub-1002,kid
54,within,0.92616505239706,within,sub-1002,kid
55,boundary,0.7054536126634601,shared,sub-1002,kid
56,within,0.28470005535122644,within,sub-1002,kid
57,boundary,0.6236779932586588,unique,sub-1002,kid
58,within,1.1161669153896985,within,sub-1002,kid
59,boundary,0.3943939656991142,shared,sub-1002,kid
60,within,0.8169683151059026,within,sub-1006,kid
61,boundary,0.2935600874598633,unique,sub-1006,kid
62,within,0.8409789410013369,within,sub-1006,kid
63,boundary,0.40846625049502017,unique,sub-1006,kid
64,within,0.46361984328052674,within,sub-1006,kid
65,boundary,0.7265609286751367,shared,sub-1006,kid
66,within,0.7300478337667594,within,sub-1006,kid
67,boundary,1.0226899209726068,unique,sub-1006,kid
68,within,0.5000566175453132,within,sub-1006,kid
69,boundary,0.3505551725805577,unique,sub-1006,kid
70,within,0.34723201082983146,within,sub-1006,kid
71,boundary,1.2117748636816739,shared,sub-1006,kid
72,within,0.4239674353343419,within,sub-1006,kid
73,boundary,0.9225154609153485,unique,sub-1006,kid
74,within,1.3822112051132978,within,sub-1006,kid
75,boundary,1.2065699383283623,shared,sub-1006,kid
76,within,0.8798887971576832,within,sub-1006,kid
77,boundary,0.4499406320664384,unique,sub-1006,kid
78,within,1.0032184698034663,within,sub-1006,kid
79,boundary,1.3131435711749275,shared,sub-1006,kid
80,within,0.614562271918834,within,sub-1007,kid
81,boundary,0.31384709246517084,unique,sub-1007,kid
82,within,0.3694833134548583,within,sub-1007,kid
83,boundary,0.47881612255144756,unique,sub-1007,kid
84,within,1.197504470997994,within,sub-1007,kid
85,boundary,0.5540387393252015,shared,sub-1007,kid
86,within,0.6393489475692573,within,sub-1007,kid
87,boundary,0.4286229235954111,unique,sub-1007,kid
88,within,0.4180486921872957,within,sub-1007,kid
89,boundary,0.9961592519907148,unique,sub-1007,kid
90,within,0.7274265879145496,within,sub-1007,kid
91,boundary,0.7412391964078759,shared,sub-1007,kid
92,within,0.891000362733824,within,sub-1007,kid
93,boundary,0.9031143349638547,unique,sub-1007,kid
94,within,1.0594669155327252,within,sub-1007,kid
