,index,dissimvalues,pairtype,subjnum,age
0,within,0.40404419220170673,within,sub-1000,adult
1,boundary,0.7432226651666012,unique,sub-1000,adult
2,within,0.8334541643894866,within,sub-1000,adult
3,boundary,0.7567666854297933,shared,sub-1000,adult
4,within,0.6696810627895575,within,sub-1000,adult
5,boundary,0.20502169097963252,unique,sub-1000,adult
6,within,0.7619643801400402,within,sub-1000,adult
7,boundary,0.9196466100262071,unique,sub-1000,adult
8,within,0.990205430643969,within,sub-1000,adult
9,boundary,0.2123369628903412,shared,sub-1000,adult
10,within,0.8314828804844223,within,sub-1000,adult
11,boundary,0.4042700093331004,shared,sub-1000,adult
12,within,0.7575222440028228,within,sub-1000,adult
13,boundary,0.7470827864440961,unique,sub-1000,adult
14,within,0.595572676976432,within,sub-1000,adult
15,boundary,0.4801458086977203,unique,sub-1000,adult
16,within,0.5987161598242122,within,sub-1000,adult
17,boundary,0.3699109963544961,shared,sub-1000,adult
18,within,1.0885994116502542,within,sub-1000,adult
19,boundary,0.8777109309012473,unique,sub-1000,adult
20,within,0.9946592461766559,within,sub-1001,adult
21,boundary,0.4256759181397147,unique,sub-1001,adult
22,within,1.012993358707212,within,sub-1001,adult
23,boundary,1.0041278649376548,shared,sub-1001,adult
24,within,0.5460217979970023,within,sub-1001,adult
25,boundary,0.6665817593182253,unique,sub-1001,adult
26,within,0.7110670069930858,within,sub-1001,adult
27,boundary,0.6092765746391617,unique,sub-1001,adult
28,within,0.13899643269101036,within,sub-1001,adult
29,boundary,0.9710636148678723,shared,sub-1001,adult
30,within,1.022476098867755,within,sub-1001,adult
31,boundary,0.1548969331979213,shared,sub-1001,adult
32,within,0.491823327372668,within,sub-1001,adult
33,boundary,0.677477516436543,unique,sub-1001,adult
34,within,0.6217268492271779,within,sub-1001,adult
35,boundary,0.8873935309438441,unique,sub-1001,adult
36,within,0.3797449519827214,within,sub-1001,adult
37,boundary,0.5157203180743916,shared,sub-1001,adult
38,within,0.48037209588566243,within,sub-1001,adult
39,boundary,0.7774211698051909,unique,sub-1001,adult
40,within,0.39703089430979943,within,sub-1002,adult
41,boundary,0.8372072333381926,unique,sub-1002,adult
42,within,0.4484237723675545,within,sub-1002,adult
43,boundary,0.2658368238173895,shared,sub-1002,adult
44,within,0.470825492620771,within,sub-1002,adult
45,boundary,0.7341214358628385,unique,sub-1002,adult
46,within,1.0070770890575085,within,sub-1002,adult
47,boundary,0.5915974640450801,unique,sub-1002,adult
48,within,0.409344846831057,within,sub-1002,adult
49,boundary,1.0635658810047819,shared,sub-1002,adult
50,within,1.330769883422253,within,sub-1002,adult
51,boundary,1.2341787233253874,shared,sub-1002,adult
52,within,0.3993278199856849,within,sub-1002,adult
53,boundary,0.9336993783549614,unique,sub-1002,adult
54,within,0.8562099319932012,within,sub-1002,adult
55,boundary,0.9292978664770489,unique,sub-1002,adult
56,within,0.6040701298274701,within,sub-1002,adult
57,boundary,0.42879402307943126,shared,sub-1002,adult
