,index,dissimvalues,pairtype,subjnum,age
0,within,0.7526244982229191,within,sub-1000,kid
1,boundary,0.40187199110844707,unique,sub-1000,kid
2,within,0.7467111309296621,within,sub-1000,kid
3,boundary,0.5735979267847436,unique,sub-1000,kid
4,within,0.20814202453811148,within,sub-1000,kid
5,boundary,0.6456489229585272,shared,sub-1000,kid
6,within,0.6977932937594948,within,sub-1000,kid
7,boundary,0.2740295066881977,unique,sub-1000,kid
8,within,0.712846723220897,within,sub-1000,kid
9,boundary,0.6627734424762002,unique,sub-1000,kid
10,within,0.680632868476968,within,sub-1000,kid
11,boundary,0.24313894233202527,shared,sub-1000,kid
12,within,0.9550908338413752,within,sub-1000,kid
13,boundary,0.8193464405276832,unique,sub-1000,kid
14,within,0.6529630936301746,within,sub-1000,kid
15,boundary,0.37302113306914597,shared,sub-1000,kid
16,within,0.30742829799272464,within,sub-1000,kid
17,boundary,0.952185578870774,unique,sub-1000,kid
18,within,0.8581880333407191,within,sub-1000,kid
19,boundary,0.33285389403135224,shared,sub-1000,kid
20,within,0.42263279947835897,within,sub-1001,kid
21,boundary,0.6083644234527934,unique,sub-1001,kid
22,within,0.89397249274572,within,sub-1001,kid
23,boundary,0.80631750209716,unique,sub-1001,kid
24,within,0.607682680315033,within,sub-1001,kid
25,boundary,1.1648976542451037,shared,sub-1001,kid
26,within,0.36346201438056835,within,sub-1001,kid
27,boundary,0.38703716447527725,unique,sub-1001,kid
28,within,0.5800296382332331,within,sub-1001,kid
29,boundary,0.7148415567067217,unique,sub-1001,kid
30,within,1.1952395413571524,within,sub-1001,kid
31,boundary,0.4389347009570227,shared,sub-1001,kid
32,within,0.7658993155363116,within,sub-1001,kid
33,boundary,0.6946015714342115,unique,sub-1001,kid
34,within,0.7096627647612135,within,sub-1001,kid
35,boundary,0.24916384607045616,shared,sub-1001,kid
36,within,0.5769370327942641,within,sub-1001,kid
37,boundary,0.5443087072277277,unique,sub-1001,kid
38,within,0.6925265857869892,within,sub-1001,kid
39,boundary,0.5670237962967674,shared,sub-1001,kid
40,within,0.3784058257397732,within,sub-1002,kid
41,boundary,0.5594059951655024,unique,sub-1002,kid
42,within,0.720006206463895,within,sub-1002,kid
43,boundary,0.34342255493967044,unique,sub-1002,kid
44,within,0.5552371560130942,within,sub-1002,kid
45,boundary,0.44340363301666064,shared,sub-1002,kid
46,within,0.6673646961510649,within,sub-1002,kid
47,boundary,0.9616200489725831,unique,sub-1002,kid
48,within,0.2283348545049192,within,sub-1002,kid
49,boundary,0.8552119813516651,unique,sub-1002,kid
50,within,0.698501519256908,within,sub-1002,kid
51,boundary,1.2415581131286106,shared,sub-1002,kid
52,within,0.5777417723953688,within,sub-1002,kid
53,boundary,0.5169182335044958,unique,sub-1002,kid
54,within,0.80924734829807,within,sub-1002,kid
55,boundary,1.0494375242193752,shared,sub-1002,kid
56,within,0.5517429266897784,within,sub-1002,kid
57,boundary,0.8104858075317509,unique,sub-1002,kid
58,within,0.22979053474479938,within,sub-1002,kid
59,boundary,0.736329966440685,shared,sub-1002,kid
60,within,0.5632365627913694,within,sub-1006,kid
