,index,dissimvalues,pairtype,subjnum,age
0,within,0.5113452916696497,within,sub-1000,adult
1,boundary,0.24869224117683164,unique,sub-1000,adult
2,within,1.0811579274902718,within,sub-1000,adult
3,boundary,0.7929851829863962,shared,sub-1000,adult
4,within,0.8145593732043135,within,sub-1000,adult
5,boundary,0.6235218173206916,unique,sub-1000,adult
6,within,0.6594276850628019,within,sub-1000,adult
7,boundary,1.0040670973778256,unique,sub-1000,adult
8,within,0.7457338429255234,within,sub-1000,adult
9,boundary,0.5338293494805397,shared,sub-1000,adult
10,within,0.6087702179258572,within,sub-1000,adult
11,boundary,0.6097737630523323,shared,sub-1000,adult
12,within,1.0818146234127628,within,sub-1000,adult
13,boundary,0.5742405946079419,unique,sub-1000,adult
14,within,0.5690000627432643,within,sub-1000,adult
15,boundary,1.0358182453339106,unique,sub-1000,adult
16,within,1.0001432276339068,within,sub-1000,adult
17,boundary,0.5331093103649523,shared,sub-1000,adult
18,within,0.2923332972030023,within,sub-1000,adult
19,boundary,0.373654420318004,unique,sub-1000,adult
20,within,0.8450422526389548,within,sub-1001,adult
21,boundary,0.9394222861408319,unique,sub-1001,adult
22,within,0.5821295789766359,within,sub-1001,adult
23,boundary,0.7542799355649181,shared,sub-1001,adult
24,within,0.684757236802128,within,sub-1001,adult
25,boundary,0.716457953092699,unique,sub-1001,adult
26,within,0.6554597312208066,within,sub-1001,adult
27,boundary,0.8430620924024471,unique,sub-1001,adult
28,within,0.42592023455653905,within,sub-1001,adult
29,boundary,1.166661846787249,shared,sub-1001,adult
30,within,0.7243858959301701,within,sub-1001,adult
31,boundary,0.6069556764262409,shared,sub-1001,adult
32,within,0.6743905484599594,within,sub-1001,adult
33,boundary,0.9002831935612903,unique,sub-1001,adult
34,within,0.4959814734274568,within,sub-1001,adult
35,boundary,0.6184045727566688,unique,sub-1001,adult
36,within,0.7543060469624625,within,sub-1001,adult
37,boundary,0.8897765000178676,shared,sub-1001,adult
38,within,0.5085037441199256,within,sub-1001,adult
39,boundary,0.39469402636630624,unique,sub-1001,adult
40,within,0.9423660973509632,within,sub-1002,adult
41,boundary,0.8653151035376083,unique,sub-1002,adult
42,within,0.8356794764634168,within,sub-1002,adult
43,boundary,0.6670057390077732,shared,sub-1002,adult
44,within,0.6505699585666634,within,sub-1002,adult
45,boundary,1.1037616387937326,unique,sub-1002,adult
46,within,0.7456829256655524,within,sub-1002,adult
47,boundary,0.7202514732507159,unique,sub-1002,adult
48,within,0.6447170635723674,within,sub-1002,adult
49,boundary,0.9283408650309268,shared,sub-1002,adult
50,within,0.5061702333003217,within,sub-1002,adult
51,boundary,1.2834092714346248,shared,sub-1002,adult
52,within,0.703136002306086,within,sub-1002,adult
53,boundary,1.028946937012902,unique,sub-1002,adult
54,within,0.7557424593679618,within,sub-1002,adult
55,boundary,0.7712996138125211,unique,sub-1002,adult
56,within,0.5440603870105001,within,sub-1002,adult
57,boundary,0.5560623363015758,shared,sub-1002,adult
58,within,1.2972627948623652,within,sub-1002,adult
59,boundary,1.490130103584075,unique,sub-1002,adult
60,within,0.6797463327849965,within,sub-1006,adult
61,boundary,0.5796661550131004,unique,sub-1006,adult
62,within,0.8547251265620754,within,sub-1006,adult
63,boundary,0.9977247528809576,shared,sub-1006,adult
64,within,0.5130339476852271,within,sub-1006,adult
65,boundary,0.6791163271883295,unique,sub-1006,adult
66,within,1.0902652146811251,within,sub-1006,adult
67,boundary,0.6622844332091473,unique,sub-1006,adult
68,within,0.7251259400939148,within,sub-1006,adult
69,boundary,0.5295106681683183,shared,sub-1006,adult
70,within,0.3867840132439486,within,sub-1006,adult
71,boundary,0.7732262607313247,shared,sub-1006,adult
72,within,0.5551427558508211,within,sub-1006,adult
73,boundary,1.1539654425403847,unique,sub-1006,adult
74,within,1.4197839774785477,within,sub-1006,adult
75,boundary,0.7152440710106026,unique,sub-1006,adult
76,within,0.5027542877054754,within,sub-1006,adult
77,boundary,0.6181122541859347,shared,sub-1006,adult
78,within,0.5679505286751603,within,sub-1006,adult
79,boundary,1.0304457946709684,unique,sub-1006,adult
80,within,0.7540807259432617,within,sub-1007,adult
81,boundary,0.17997345178369395,unique,sub-1007,adult
82,within,0.5130005194722504,within,sub-1007,adult
83,boundary,0.5882097726453885,shared,sub-1007,adult
84,within,0.6406420188324244,within,sub-1007,adult
85,boundary,0.6719670023275075,unique,sub-1007,adult
86,within,0.34503645568527364,within,sub-1007,adult
87,boundary,0.9059089716604731,unique,sub-1007,adult
88,within,0.9135140923829159,within,sub-1007,adult
89,boundary,0.47070927441789423,shared,sub-1007,adult
90,within,0.387084293678702,within,sub-1007,adult
91,boundary,0.6815527068286895,shared,sub-1007,adult
92,within,0.23607110237246465,within,sub-1007,adult
93,boundary,0.8027232118752806,unique,sub-1007,adult
94,within,0.8660573024234794,within,sub-1007,adult
95,boundary,0.8016554011891198,unique,sub-1007,adult
96,within,0.7428175255225766,within,sub-1007,adult
97,boundary,0.2715274219594497,shared,sub-1007,adult
98,within,0.8054142445326489,within,sub-1007,adult
99,boundary,0.9470621325454844,unique,sub-1007,adult
100,within,0.4879611796074982,within,sub-1009,adult
101,boundary,0.8440203682214695,unique,sub-1009,adult
102,within,0.5441132253143517,within,sub-1009,adult
103,boundary,0.8940166539208064,shared,sub-1009,adult
104,within,0.3469629573101196,within,sub-1009,adult
105,boundary,0.7159406192901134,unique,sub-1009,adult
106,within,1.047649015765479,within,sub-1009,adult
107,boundary,0.959936954205,unique,sub-1009,adult
108,within,0.5694670440288407,within,sub-1009,adult
109,boundary,1.1017391480408842,shared,sub-1009,adult
110,within,0.548937208305345,within,sub-1009,adult
111,boundary,0.39082029962496867,shared,sub-1009,adult
112,within,1.0404427509900416,within,sub-1009,adult
113,boundary,0.8709395987304602,unique,sub-1009,adult
114,within,0.9883409077211782,within,sub-1009,adult
115,boundary,0.508501375263648,unique,sub-1009,adult
116,within,0.3094159394290774,within,sub-1009,adult
117,boundary,0.5814595183401104,shared,sub-1009,adult
118,within,0.8044508279925021,within,sub-1009,adult
119,boundary,0.7333423955725505,unique,sub-1009,adult
120,within,0.8778410138719853,within,sub-1011,adult
121,boundary,0.5891419252673553,unique,sub-1011,adult
122,within,0.7825755508421837,within,sub-1011,adult
123,boundary,0.4799888970941143,shared,sub-1011,adult
124,within,0.6541365092142222,within,sub-1011,adult
125,boundary,0.7620655676102773,unique,sub-1011,adult
