,index,dissimvalues,pairtype,subjnum,age
0,within,0.8379408699974509,within,sub-1000,kid
1,boundary,0.7165740761840351,unique,sub-1000,kid
2,within,0.8156669576176346,within,sub-1000,kid
3,boundary,0.28639955552301244,unique,sub-1000,kid
4,within,0.35304617229959423,within,sub-1000,kid
5,boundary,0.7582085449516697,shared,sub-1000,kid
6,within,0.8970779310888363,within,sub-1000,kid
7,boundary,0.5240255442185788,unique,sub-1000,kid
8,within,1.0553136328669614,within,sub-1000,kid
9,boundary,0.5584868399211473,unique,sub-1000,kid
10,within,0.7046334469276715,within,sub-1000,kid
11,boundary,0.42096207068707725,shared,sub-1000,kid
12,within,0.5645845804898619,within,sub-1000,kid
13,boundary,0.6799743401763991,unique,sub-1000,kid
14,within,0.7816665931437853,within,sub-1000,kid
15,boundary,0.6631721965022244,shared,sub-1000,kid
16,within,0.3371436801698202,within,sub-1000,kid
17,boundary,0.6308688366291999,unique,sub-1000,kid
18,within,0.9614750836238634,within,sub-1000,kid
19,boundary,0.7109349269411973,shared,sub-1000,kid
20,within,0.21983520462866235,within,sub-1001,kid
21,boundary,0.3634191021703148,unique,sub-1001,kid
22,within,0.6423269833591456,within,sub-1001,kid
23,boundary,0.6418749550898268,unique,sub-1001,kid
24,within,0.7208683589902882,within,sub-1001,kid
25,boundary,0.9165234877574451,shared,sub-1001,kid
26,within,0.7021015818352331,within,sub-1001,kid
27,boundary,0.42863310238478136,unique,sub-1001,kid
28,within,0.7027601347527883,within,sub-1001,kid
29,boundary,0.5494097542090586,unique,sub-1001,kid
30,within,1.2130769408405049,within,sub-1001,kid
31,boundary,0.7453828716190802,shared,sub-1001,kid
32,within,0.8984429827452312,within,sub-1001,kid
33,boundary,1.3392347946986054,unique,sub-1001,kid
34,within,1.0592258613055723,within,sub-1001,kid
35,boundary,0.5794076880811412,shared,sub-1001,kid
36,within,0.9024439455225172,within,sub-1001,kid
37,boundary,0.4444040941681192,unique,sub-1001,kid
38,within,0.8043663766224418,within,sub-1001,kid
39,boundary,0.6475432587684182,shared,sub-1001,kid
40,within,0.9543126150283465,within,sub-1002,kid
41,boundary,0.9336013687767407,unique,sub-1002,kid
42,within,0.37222493714529803,within,sub-1002,kid
43,boundary,1.0443284098583614,unique,sub-1002,kid
44,within,0.6752734537757685,within,sub-1002,kid
45,boundary,0.4420831602299252,shared,sub-1002,kid
46,within,0.5336368711743253,within,sub-1002,kid
47,boundary,0.5166593322103359,unique,sub-1002,kid
48,within,1.0296275352389128,within,sub-1002,kid
49,boundary,0.5011932288311299,unique,sub-1002,kid
50,within,0.6179608782535833,within,sub-1002,kid
51,boundary,0.746808505290169,shared,sub-1002,kid
52,within,0.6005359572429195,within,sub-1002,kid
53,boundary,0.7290910997359248,unique,sub-1002,kid
54,within,1.047124088506746,within,sub-1002,kid
55,boundary,1.1289618368639986,shared,sub-1002,kid
56,within,0.6554402121515251,within,sub-1002,kid
57,boundary,0.6714311351716945,unique,sub-1002,kid
58,within,1.0420847547455758,within,sub-1002,kid
59,boundary,0.5282275982887246,shared,sub-1002,kid
60,within,0.8277954988765391,within,sub-1006,kid
61,boundary,0.6839711260168414,unique,sub-1006,kid
62,within,0.6503143880815219,within,sub-1006,kid
63,boundary,0.4753356180125201,unique,sub-1006,kid
64,within,1.0064428345151324,within,sub-1006,kid
65,boundary,0.84665630820869,shared,sub-1006,kid
66,within,0.4736306970490677,within,sub-1006,kid
67,boundary,0.9652045717232104,unique,sub-1006,kid
68,within,0.7078868656292527,within,sub-1006,kid
69,boundary,0.47298440988669055,unique,sub-1006,kid
70,within,0.4192324042659116,within,sub-1006,kid
71,boundary,0.9268990392818653,shared,sub-1006,kid
72,within,1.071606978383117,within,sub-1006,kid
73,boundary,0.657210340743368,unique,sub-1006,kid
74,within,1.243351645168166,within,sub-1006,kid
75,boundary,0.3202141586433178,shared,sub-1006,kid
76,within,0.5429232254853195,within,sub-1006,kid
77,boundary,0.6854171382408027,unique,sub-1006,kid
78,within,1.0266133791341676,within,sub-1006,kid
79,boundary,0.8393355577319135,shared,sub-1006,kid
80,within,1.1773648518437836,within,sub-1007,kid
81,boundary,0.46248680570241807,unique,sub-1007,kid
82,within,0.6276038179494889,within,sub-1007,kid
83,boundary,0.21297545204314017,unique,sub-1007,kid
84,within,0.9052499172998755,within,sub-1007,kid
85,boundary,0.41815616157530766,shared,sub-1007,kid
86,within,0.9276243648165357,within,sub-1007,kid
87,boundary,0.4357251803083626,unique,sub-1007,kid
88,within,0.9523840056786491,within,sub-1007,kid
89,boundary,0.9399838563850079,unique,sub-1007,kid
90,within,0.7449704581611949,within,sub-1007,kid
91,boundary,1.2072363873466692,shared,sub-1007,kid
92,within,0.9386782133165725,within,sub-1007,kid
93,boundary,1.05346162702838,unique,sub-1007,kid
94,within,0.4360793698617189,within,sub-1007,kid
95,boundary,0.25834443426590814,shared,sub-1007,kid
96,within,0.9761705818691484,within,sub-1007,kid
97,boundary,0.6155982257510731,unique,sub-1007,kid
98,within,0.6143380940083869,within,sub-1007,kid
99,boundary,0.21869162737984515,shared,sub-1007,kid
100,within,0.9488924871743759,within,sub-1009,kid
101,boundary,0.46074928799565407,unique,sub-1009,kid
102,within,0.68578428884213,within,sub-1009,kid
103,boundary,0.5931566526080447,unique,sub-1009,kid
104,within,0.757099481886549,within,sub-1009,kid
105,boundary,0.7992998917781738,shared,sub-1009,kid
106,within,0.9271027889071661,within,sub-1009,kid
107,boundary,0.8750808724193476,unique,sub-1009,kid
108,within,1.0620598537285182,within,sub-1009,kid
109,boundary,0.8297046863297649,unique,sub-1009,kid
110,within,0.619013514301178,within,sub-1009,kid
111,boundary,1.0346154463760726,shared,sub-1009,kid
112,within,0.6926692286233979,within,sub-1009,kid
113,boundary,0.712042655986618,unique,sub-1009,kid
114,within,0.31258787153323797,within,sub-1009,kid
115,boundary,0.32402791481714177,shared,sub-1009,kid
116,within,1.0024581729170357,within,sub-1009,kid
117,boundary,0.6073876700408811,unique,sub-1009,kid
118,within,0.70370780516479,within,sub-1009,kid
119,boundary,0.5131017023337949,shared,sub-1009,kid
120,within,0.7883691651275374,within,sub-1011,kid
121,boundary,1.0206527658579057,unique,sub-1011,kid
122,within,0.5706229006642827,within,sub-1011,kid
123,boundary,0.5143142453654442,unique,sub-1011,kid
124,within,0.7067093234656399,within,sub-1011,kid
125,boundary,0.6078470760839605,shared,sub-1011,kid
126,within,0.4267580935576075,within,sub-1011,kid
127,boundary,0.7417175950087187,unique,sub-1011,kid
128,within,0.6837486612598889,within,sub-1011,kid
129,boundary,0.6603128338021351,unique,sub-1011,kid
130,within,0.3936172902169591,within,sub-1011,kid
131,boundary,0.7337380729067682,shared,sub-1011,kid
132,within,0.9446511400204963,within,sub-1011,kid
133,boundary,0.48071118293657855,unique,sub-1011,kid
134,within,0.7191871859435748,within,sub-1011,kid
135,boundary,1.1481592421529248,shared,sub-1011,kid
136,within,0.4698785790229929,within,sub-1011,kid
137,boundary,0.9057465247044336,unique,sub-1011,kid
138,within,0.4299396124443733,within,sub-1011,kid
139,boundary,0.5139188761563173,shared,sub-1011,kid
140,within,1.1976034067857246,within,sub-1012,kid
141,boundary,0.2786757104604022,unique,sub-1012,kid
142,within,0.7722126569863557,within,sub-1012,kid
143,boundary,1.1170778774053896,unique,sub-1012,kid
144,within,1.0175096453161685,within,sub-1012,kid
145,boundary,0.5940411191330832,shared,sub-1012,kid
146,within,1.13130169349538,within,sub-1012,kid
147,boundary,1.131322911904812,unique,sub-1012,kid
148,within,0.6100313872286891,within,sub-1012,kid
149,boundary,0.6691472414740726,unique,sub-1012,kid
150,within,0.9610973502162304,within,sub-1012,kid
151,boundary,0.9016795913043383,shared,sub-1012,kid
152,within,0.9038735284760095,within,sub-1012,kid
153,boundary,0.5694971057129461,unique,sub-1012,kid
154,within,0.9213978716585467,within,sub-1012,kid
155,boundary,0.9794969482381586,shared,sub-1012,kid
156,within,0.4625492629852507,within,sub-1012,kid
157,boundary,0.9235124742419072,unique,sub-1012,kid
158,within,1.085333937862401,within,sub-1012,kid
159,boundary,0.4071291398904151,shared,sub-1012,kid
160,within,0.7406760031408643,within,sub-1015,kid
161,boundary,0.8460636742061451,unique,sub-1015,kid
162,within,0.7416705288880562,within,sub-1015,kid
163,boundary,0.9553365097131442,unique,sub-1015,kid
164,within,0.6890452019240327,within,sub-1015,kid
165,boundary,0.817990138350588,shared,sub-1015,kid
166,within,0.7278612870792893,within,sub-1015,kid
167,boundary,0.6337231439446895,unique,sub-1015,kid
168,within,0.9343026168512312,within,sub-1015,kid
169,boundary,0.6748565709297365,unique,sub-1015,kid
170,within,1.0141984268295443,within,sub-1015,kid
171,boundary,1.1263843621550214,shared,sub-1015,kid
172,within,0.7712025066816132,within,sub-1015,kid
173,boundary,1.2770950871271498,unique,sub-1015,kid
174,within,1.1132344530415774,within,sub-1015,kid
175,boundary,0.6647755423151633,shared,sub-1015,kid
176,within,0.504948678511208,within,sub-1015,kid
177,boundary,0.6442022590498364,unique,sub-1015,kid
178,within,0.5486278147599288,within,sub-1015,kid
179,boundary,0.5320807263640875,shared,sub-1015,kid
180,within,1.0920308633705573,within,sub-1016,kid
181,boundary,0.6462902932712772,unique,sub-1016,kid
182,within,0.7073611962967288,within,sub-1016,kid
183,boundary,1.1937661088764535,unique,sub-1016,kid
184,within,1.173006900311687,within,sub-1016,kid
185,boundary,1.1733560748746379,shared,sub-1016,kid
186,within,1.053249473344678,within,sub-1016,kid
187,boundary,0.7570106700482171,unique,sub-1016,kid
188,within,0.8109449884333175,within,sub-1016,kid
189,boundary,0.7931498593268033,unique,sub-1016,kid
190,within,0.8721128897115243,within,sub-1016,kid
191,boundary,0.5386223080471331,shared,sub-1016,kid
192,within,0.7299059106357202,within,sub-1016,kid
193,boundary,1.0604456671488356,unique,sub-1016,kid
