,index,dissimvalues,pairtype,subjnum,age
0,within,1.1396110059568076,within,sub-1000,adult
1,boundary,0.34819476852259745,unique,sub-1000,adult
2,within,0.8299880677130077,within,sub-1000,adult
3,boundary,0.7375946305343014,shared,sub-1000,adult
4,within,1.2477565695778994,within,sub-1000,adult
5,boundary,0.5427952647846348,unique,sub-1000,adult
6,within,0.8424695746782478,within,sub-1000,adult
7,boundary,1.1660417014394608,unique,sub-1000,adult
8,within,0.39087526234194214,within,sub-1000,adult
9,boundary,0.25993648622662546,shared,sub-1000,adult
10,within,1.1289624795265116,within,sub-1000,adult
11,boundary,0.2290417674988573,shared,sub-1000,adult
12,within,0.29513872625732007,within,sub-1000,adult
13,boundary,0.6820284057112012,unique,sub-1000,adult
14,within,0.6829593768138031,within,sub-1000,adult
15,boundary,1.056853531514838,unique,sub-1000,adult
16,within,0.5934498974287628,within,sub-1000,adult
17,boundary,0.3639521660255737,shared,sub-1000,adult
18,within,0.242618349146278,within,sub-1000,adult
19,boundary,0.9645681502624456,unique,sub-1000,adult
20,within,0.9107534843545988,within,sub-1001,adult
21,boundary,0.6172964147415265,unique,sub-1001,adult
22,within,1.2157953362237195,within,sub-1001,adult
23,boundary,0.7035876480395105,shared,sub-1001,adult
24,within,1.288391774596187,within,sub-1001,adult
25,boundary,0.6578146588883338,unique,sub-1001,adult
26,within,0.6319284890868458,within,sub-1001,adult
27,boundary,0.8252907656444797,unique,sub-1001,adult
28,within,1.0673787240755166,within,sub-1001,adult
29,boundary,1.1898737942224742,shared,sub-1001,adult
30,within,0.6798655632805021,within,sub-1001,adult
31,boundary,0.6763914871437091,shared,sub-1001,adult
32,within,0.6756951177819168,within,sub-1001,adult
33,boundary,0.9049114625549475,unique,sub-1001,adult
34,within,0.8102935966613424,within,sub-1001,adult
35,boundary,0.5641189079603053,unique,sub-1001,adult
36,within,0.5212094666994935,within,sub-1001,adult
37,boundary,0.7690336540658003,shared,sub-1001,adult
38,within,1.0144794503592751,within,sub-1001,adult
39,boundary,0.7547471931672384,unique,sub-1001,adult
40,within,1.0171735175393757,within,sub-1002,adult
41,boundary,0.8892625264410935,unique,sub-1002,adult
42,within,0.9394915888329328,within,sub-1002,adult
43,boundary,0.5227299796043805,shared,sub-1002,adult
44,within,0.41736883046678797,within,sub-1002,adult
45,boundary,0.5767936672562481,unique,sub-1002,adult
46,within,0.697763675964039,within,sub-1002,adult
47,boundary,0.6171585349011198,unique,sub-1002,adult
48,within,0.8814508652759435,within,sub-1002,adult
49,boundary,0.5507298757528298,shared,sub-1002,adult
50,within,0.47971055285308584,within,sub-1002,adult
51,boundary,1.0725370340875227,shared,sub-1002,adult
52,within,0.41387590371447325,within,sub-1002,adult
53,boundary,0.7515045051628846,unique,sub-1002,adult
54,within,0.8745978271165519,within,sub-1002,adult
55,boundary,1.1477761057893106,unique,sub-1002,adult
56,within,0.5577108104497647,within,sub-1002,adult
57,boundary,0.14016798989756707,shared,sub-1002,adult
58,within,1.0581807860246246,within,sub-1002,adult
59,boundary,1.0044085741155073,unique,sub-1002,adult
60,within,0.9261214683273176,within,sub-1006,adult
61,boundary,0.7767280230744893,unique,sub-1006,adult
62,within,0.7967548554881689,within,sub-1006,adult
63,boundary,0.6617768057831711,shared,sub-1006,adult
64,within,0.9364554960509104,within,sub-1006,adult
65,boundary,0.7187231760020709,unique,sub-1006,adult
66,within,0.477590166233252,within,sub-1006,adult
67,boundary,0.8495533089719043,unique,sub-1006,adult
68,within,0.6148292736229926,within,sub-1006,adult
69,boundary,0.3819206313224808,shared,sub-1006,adult
70,within,0.4792875219047048,within,sub-1006,adult
71,boundary,0.5738713181359099,shared,sub-1006,adult
72,within,0.31090697996279704,within,sub-1006,adult
73,boundary,1.1227701816158593,unique,sub-1006,adult
74,within,1.4792591815223246,within,sub-1006,adult
75,boundary,1.0390211764829314,unique,sub-1006,adult
76,within,0.5907054749044688,within,sub-1006,adult
77,boundary,0.8997873619536801,shared,sub-1006,adult
78,within,0.4555932546299142,within,sub-1006,adult
79,boundary,1.1708910270469266,unique,sub-1006,adult
80,within,0.9269862428615625,within,sub-1007,adult
81,boundary,0.3884335849243944,unique,sub-1007,adult
82,within,0.15112085805607722,within,sub-1007,adult
83,boundary,1.0013210141570963,shared,sub-1007,adult
84,within,0.5269905824832861,within,sub-1007,adult
85,boundary,0.5491350482768249,unique,sub-1007,adult
86,within,0.5783797414554053,within,sub-1007,adult
87,boundary,0.9076794592052188,unique,sub-1007,adult
88,within,0.9727801169788438,within,sub-1007,adult
89,boundary,0.6545124355564749,shared,sub-1007,adult
90,within,0.7523866101830557,within,sub-1007,adult
91,boundary,0.09707962982742735,shared,sub-1007,adult
92,within,0.19623105750601844,within,sub-1007,adult
93,boundary,0.8207000672099147,unique,sub-1007,adult
94,within,0.7521400283650806,within,sub-1007,adult
95,boundary,0.18213709620896779,unique,sub-1007,adult
96,within,0.6969115492885676,within,sub-1007,adult
97,boundary,0.4872821485059372,shared,sub-1007,adult
98,within,0.38203497357754734,within,sub-1007,adult
99,boundary,0.8297722869691546,unique,sub-1007,adult
100,within,0.7319849712809777,within,sub-1009,adult
