,index,dissimvalues,pairtype,subjnum,age
0,within,0.23872304975651992,within,sub-1000,kid
1,boundary,0.44355555005101366,unique,sub-1000,kid
2,within,0.5575653683918929,within,sub-1000,kid
3,boundary,0.2703337466718606,unique,sub-1000,kid
4,within,0.4126218215641454,within,sub-1000,kid
5,boundary,0.9833028809606984,shared,sub-1000,kid
6,within,0.8440046775229861,within,sub-1000,kid
7,boundary,0.4847822000936687,unique,sub-1000,kid
8,within,0.5119698049518472,within,sub-1000,kid
9,boundary,0.9882747064855427,unique,sub-1000,kid
10,within,0.16167456782358192,within,sub-1000,kid
11,boundary,0.6674825765493327,shared,sub-1000,kid
12,within,0.8103817867224103,within,sub-1000,kid
13,boundary,0.818414027314761,unique,sub-1000,kid
14,within,0.6457031598775584,within,sub-1000,kid
15,boundary,0.4060631190136842,shared,sub-1000,kid
16,within,0.0740289704893492,within,sub-1000,kid
17,boundary,0.4947616389263405,unique,sub-1000,kid
18,within,0.8742864238154655,within,sub-1000,kid
19,boundary,0.5518665793788082,shared,sub-1000,kid
20,within,0.15010306237486448,within,sub-1001,kid
21,boundary,0.49743336715203545,unique,sub-1001,kid
22,within,0.8418446000450636,within,sub-1001,kid
23,boundary,0.46375005509843314,unique,sub-1001,kid
24,within,0.7590918994058585,within,sub-1001,kid
25,boundary,0.6298874137498054,shared,sub-1001,kid
26,within,0.7827296111596651,within,sub-1001,kid
27,boundary,0.8355271167816797,unique,sub-1001,kid
28,within,0.6201002164699291,within,sub-1001,kid
29,boundary,0.5421984127682238,unique,sub-1001,kid
30,within,0.6863868192132969,within,sub-1001,kid
31,boundary,0.5553780542481399,shared,sub-1001,kid
32,within,0.7690896095309014,within,sub-1001,kid
33,boundary,1.1248714459299767,unique,sub-1001,kid
34,within,0.48477759736867077,within,sub-1001,kid
35,boundary,0.42263837507930513,shared,sub-1001,kid
36,within,0.639777947294713,within,sub-1001,kid
37,boundary,0.45156953164723423,unique,sub-1001,kid
38,within,0.7435247409306565,within,sub-1001,kid
39,boundary,0.6395784882723912,shared,sub-1001,kid
40,within,0.32361183420408524,within,sub-1002,kid
41,boundary,1.3286475283452213,unique,sub-1002,kid
42,within,0.28904003262475175,within,sub-1002,kid
43,boundary,0.7802605345363032,unique,sub-1002,kid
44,within,0.5097359270621664,within,sub-1002,kid
45,boundary,0.3947690512128722,shared,sub-1002,kid
46,within,1.0253806689342424,within,sub-1002,kid
47,boundary,0.3393423406874587,unique,sub-1002,kid
48,within,0.7720394095408387,within,sub-1002,kid
49,boundary,0.8183964768247612,unique,sub-1002,kid
50,within,0.5172446132321984,within,sub-1002,kid
51,boundary,0.39596144179789805,shared,sub-1002,kid
52,within,0.5546269391347167,within,sub-1002,kid
53,boundary,1.042381521373761,unique,sub-1002,kid
54,within,0.627694462394931,within,sub-1002,kid
55,boundary,0.8900508530493374,shared,sub-1002,kid
56,within,0.27444453838743854,within,sub-1002,kid
57,boundary,0.6764322740632145,unique,sub-1002,kid
58,within,0.5348228527238588,within,sub-1002,kid
59,boundary,0.2258675674811288,shared,sub-1002,kid
60,within,0.4940620950776311,within,sub-1006,kid
61,boundary,0.45746877659189766,unique,sub-1006,kid
62,within,0.8580377209832757,within,sub-1006,kid
63,boundary,0.430824561364312,unique,sub-1006,kid
64,within,0.8452315852477309,within,sub-1006,kid
65,boundary,0.5911425934654456,shared,sub-1006,kid
66,within,0.26341697309506207,within,sub-1006,kid
67,boundary,0.632287961966714,unique,sub-1006,kid
68,within,0.463663721704912,within,sub-1006,kid
69,boundary,0.3913716319906463,unique,sub-1006,kid
70,within,0.5531685103474291,within,sub-1006,kid
71,boundary,1.1216377869041723,shared,sub-1006,kid
72,within,0.5417619617902468,within,sub-1006,kid
73,boundary,1.158446670277451,unique,sub-1006,kid
74,within,1.2216602429834555,within,sub-1006,kid
75,boundary,0.6745784449899898,shared,sub-1006,kid
76,within,0.46640078580104527,within,sub-1006,kid
77,boundary,0.5958729120380009,unique,sub-1006,kid
78,within,0.8669882234702319,within,sub-1006,kid
79,boundary,1.1759475897079235,shared,sub-1006,kid
80,within,0.8632760183493255,within,sub-1007,kid
81,boundary,0.5279876586822103,unique,sub-1007,kid
82,within,0.3297296448651378,within,sub-1007,kid
83,boundary,0.5553332456493725,unique,sub-1007,kid
84,within,1.1267755179693335,within,sub-1007,kid
85,boundary,0.9460373460100934,shared,sub-1007,kid
86,within,0.5768634063457642,within,sub-1007,kid
87,boundary,0.39908403477706733,unique,sub-1007,kid
88,within,1.0954790272575732,within,sub-1007,kid
89,boundary,0.813308405508872,unique,sub-1007,kid
90,within,0.7684863409401812,within,sub-1007,kid
91,boundary,0.9576371639132798,shared,sub-1007,kid
92,within,0.6953172892756078,within,sub-1007,kid
93,boundary,0.9134478151136046,unique,sub-1007,kid
94,within,1.1232132863612243,within,sub-1007,kid
95,boundary,0.15739691807152434,shared,sub-1007,kid
96,within,0.3956159748095349,within,sub-1007,kid
97,boundary,1.34694807308317,unique,sub-1007,kid
98,within,1.0124726606830168,within,sub-1007,kid
99,boundary,0.4073553747382548,shared,sub-1007,kid
100,within,0.5773123587730735,within,sub-1009,kid
101,boundary,1.0020990848579059,unique,sub-1009,kid
102,within,1.1155502525988727,within,sub-1009,kid
103,boundary,0.7699121822777872,unique,sub-1009,kid
104,within,0.4322484581941417,within,sub-1009,kid
105,boundary,1.2505466826522467,shared,sub-1009,kid
106,within,0.9823612293110034,within,sub-1009,kid
107,boundary,0.8352422496204922,unique,sub-1009,kid
108,within,0.7899117754486416,within,sub-1009,kid
109,boundary,0.8599067800442364,unique,sub-1009,kid
110,within,1.463515296419664,within,sub-1009,kid
111,boundary,0.95900782564353,shared,sub-1009,kid
112,within,0.614480941182193,within,sub-1009,kid
113,boundary,0.49789417133416414,unique,sub-1009,kid
114,within,0.35384302419366487,within,sub-1009,kid
115,boundary,0.4705980145099745,shared,sub-1009,kid
116,within,0.4549780780759287,within,sub-1009,kid
117,boundary,0.8920376561957416,unique,sub-1009,kid
118,within,0.44794086437081004,within,sub-1009,kid
119,boundary,0.2521943369122561,shared,sub-1009,kid
120,within,0.5314507035074056,within,sub-1011,kid
121,boundary,0.6293715793037247,unique,sub-1011,kid
122,within,0.6700341596827766,within,sub-1011,kid
123,boundary,0.17022551435438749,unique,sub-1011,kid
124,within,0.36698568522099195,within,sub-1011,kid
125,boundary,0.6607056864788798,shared,sub-1011,kid
126,within,0.4781610270431965,within,sub-1011,kid
127,boundary,1.001439854894512,unique,sub-1011,kid
