,index,dissimvalues,pairtype,subjnum,age
0,within,0.3952362060316992,within,sub-1000,adult
1,boundary,0.5116303457022036,unique,sub-1000,adult
2,within,0.8531661292454233,within,sub-1000,adult
3,boundary,0.9249739013250037,shared,sub-1000,adult
4,within,0.6211182431871417,within,sub-1000,adult
5,boundary,0.8388006931663314,unique,sub-1000,adult
6,within,0.6186194463994168,within,sub-1000,adult
7,boundary,0.7049708693676218,unique,sub-1000,adult
8,within,1.0300712359766777,within,sub-1000,adult
9,boundary,0.20055798533530322,shared,sub-1000,adult
10,within,1.2221908810839734,within,sub-1000,adult
11,boundary,0.36476091398539845,shared,sub-1000,adult
12,within,0.5842324620712713,within,sub-1000,adult
13,boundary,0.9816033256279647,unique,sub-1000,adult
14,within,0.43790617912913643,within,sub-1000,adult
15,boundary,0.5335763494661945,unique,sub-1000,adult
16,within,0.525235632826491,within,sub-1000,adult
17,boundary,0.4212893900764365,shared,sub-1000,adult
18,within,0.9085259036621751,within,sub-1000,adult
19,boundary,0.6831261368944174,unique,sub-1000,adult
20,within,0.674829850281738,within,sub-1001,adult
21,boundary,0.3263854746566298,unique,sub-1001,adult
22,within,0.840169136301878,within,sub-1001,adult
23,boundary,1.4297546599444315,shared,sub-1001,adult
24,within,0.6313455702748962,within,sub-1001,adult
25,boundary,0.37739035727349335,unique,sub-1001,adult
26,within,0.7533179947922654,within,sub-1001,adult
27,boundary,0.39761176522527986,unique,sub-1001,adult
28,within,0.10778093288617685,within,sub-1001,adult
29,boundary,0.3731898185174112,shared,sub-1001,adult
30,within,0.7203374778543605,within,sub-1001,adult
31,boundary,0.08104769840429327,shared,sub-1001,adult
32,within,0.5718412112286675,within,sub-1001,adult
33,boundary,0.6011802797487156,unique,sub-1001,adult
34,within,0.7278903760404156,within,sub-1001,adult
35,boundary,0.5473374208909174,unique,sub-1001,adult
36,within,0.37174277333235195,within,sub-1001,adult
37,boundary,0.4662227446126843,shared,sub-1001,adult
38,within,0.45377191025683095,within,sub-1001,adult
39,boundary,0.661491795757267,unique,sub-1001,adult
40,within,0.6088238329319831,within,sub-1002,adult
41,boundary,0.9281579923523022,unique,sub-1002,adult
42,within,0.33501400645794055,within,sub-1002,adult
43,boundary,0.15770870937614434,shared,sub-1002,adult
44,within,0.6914422475716098,within,sub-1002,adult
45,boundary,1.165963375630312,unique,sub-1002,adult
46,within,1.2288027164274682,within,sub-1002,adult
47,boundary,1.0479225480121779,unique,sub-1002,adult
