,index,dissimvalues,pairtype,subjnum,age
0,within,0.45049588656113637,within,sub-1000,kid
1,boundary,0.5596603391740267,unique,sub-1000,kid
2,within,0.6514439791416023,within,sub-1000,kid
3,boundary,0.5218594162980096,unique,sub-1000,kid
4,within,0.2240918121052854,within,sub-1000,kid
5,boundary,0.8441986221308011,shared,sub-1000,kid
6,within,0.37993769110370235,within,sub-1000,kid
7,boundary,0.3620305304268584,unique,sub-1000,kid
8,within,0.4345484386827806,within,sub-1000,kid
9,boundary,0.4378689155051566,unique,sub-1000,kid
10,within,0.5100642201377135,within,sub-1000,kid
11,boundary,0.2572289646053866,shared,sub-1000,kid
12,within,0.518616616657702,within,sub-1000,kid
13,boundary,0.7241589178623113,unique,sub-1000,kid
14,within,0.559406974821466,within,sub-1000,kid
15,boundary,0.4003853199397074,shared,sub-1000,kid
16,within,0.3903084554318029,within,sub-1000,kid
17,boundary,0.731101125517269,unique,sub-1000,kid
18,within,0.807800180150675,within,sub-1000,kid
19,boundary,0.5517355152491306,shared,sub-1000,kid
20,within,0.587778522478646,within,sub-1001,kid
21,boundary,0.5154331366835601,unique,sub-1001,kid
22,within,0.7487176536566078,within,sub-1001,kid
23,boundary,0.33872435068534956,unique,sub-1001,kid
24,within,0.6331577662672401,within,sub-1001,kid
25,boundary,1.4736815009189166,shared,sub-1001,kid
26,within,0.3636025942896649,within,sub-1001,kid
27,boundary,1.1275603057478312,unique,sub-1001,kid
28,within,0.6439881501080407,within,sub-1001,kid
29,boundary,1.2608097594785632,unique,sub-1001,kid
30,within,1.2547895116667502,within,sub-1001,kid
31,boundary,0.29554435876274665,shared,sub-1001,kid
32,within,0.5302995568201456,within,sub-1001,kid
33,boundary,0.7170173679550089,unique,sub-1001,kid
34,within,0.4578707418614961,within,sub-1001,kid
35,boundary,0.08310536343775121,shared,sub-1001,kid
36,within,1.2108155859389003,within,sub-1001,kid
37,boundary,0.40469134413559094,unique,sub-1001,kid
38,within,0.6749069877259999,within,sub-1001,kid
39,boundary,0.5812391547432649,shared,sub-1001,kid
40,within,0.5387893928347833,within,sub-1002,kid
41,boundary,0.44027594042966556,unique,sub-1002,kid
42,within,0.6646854405918281,within,sub-1002,kid
43,boundary,0.34808083751803165,unique,sub-1002,kid
44,within,0.7553181220569555,within,sub-1002,kid
45,boundary,0.3605673776536459,shared,sub-1002,kid
46,within,0.7892243565985886,within,sub-1002,kid
47,boundary,0.5733939035658053,unique,sub-1002,kid
48,within,0.554365695597457,within,sub-1002,kid
49,boundary,1.1822794464263615,unique,sub-1002,kid
50,within,1.1520319470667146,within,sub-1002,kid
51,boundary,1.320854451634058,shared,sub-1002,kid
52,within,0.4427672303809794,within,sub-1002,kid
53,boundary,0.6991137358482873,unique,sub-1002,kid
54,within,0.9294078197216435,within,sub-1002,kid
55,boundary,1.2158563517043086,shared,sub-1002,kid
56,within,0.3665894193036183,within,sub-1002,kid
57,boundary,0.7646540558767629,unique,sub-1002,kid
58,within,0.3702079348378233,within,sub-1002,kid
59,boundary,0.6220047440626233,shared,sub-1002,kid
60,within,0.9604020573277716,within,sub-1006,kid
61,boundary,0.573057497979401,unique,sub-1006,kid
62,within,0.7230808481208498,within,sub-1006,kid
63,boundary,1.173901721257912,unique,sub-1006,kid
64,within,1.40419540346109,within,sub-1006,kid
65,boundary,0.16676193221904356,shared,sub-1006,kid
66,within,0.9147106689647394,within,sub-1006,kid
67,boundary,0.6754546456509667,unique,sub-1006,kid
68,within,0.4821909553170447,within,sub-1006,kid
69,boundary,0.3405958493223238,unique,sub-1006,kid
70,within,0.8098284704310124,within,sub-1006,kid
71,boundary,0.5478843866266156,shared,sub-1006,kid
72,within,0.4739713104622012,within,sub-1006,kid
73,boundary,0.5164518212610796,unique,sub-1006,kid
74,within,0.8934279004982283,within,sub-1006,kid
75,boundary,0.4520902422452714,shared,sub-1006,kid
76,within,0.8213539024799431,within,sub-1006,kid
77,boundary,0.411911269627097,unique,sub-1006,kid
78,within,0.8691692526121029,within,sub-1006,kid
79,boundary,0.8003728570692585,shared,sub-1006,kid
80,within,0.9551285138961966,within,sub-1007,kid
81,boundary,0.5573164866958495,unique,sub-1007,kid
