,index,dissimvalues,pairtype,subjnum,age
0,within,0.5751372444798726,within,sub-1000,kid
1,boundary,0.962146162345207,unique,sub-1000,kid
2,within,0.7030020920461431,within,sub-1000,kid
3,boundary,0.3668565576592817,unique,sub-1000,kid
4,within,0.7924505329687113,within,sub-1000,kid
5,boundary,0.7260602402308234,shared,sub-1000,kid
6,within,0.44579356989269525,within,sub-1000,kid
7,boundary,0.47615720247920623,unique,sub-1000,kid
8,within,0.5755877339401604,within,sub-1000,kid
9,boundary,0.5318387362317993,unique,sub-1000,kid
10,within,0.5367349845415916,within,sub-1000,kid
11,boundary,0.2837252905410492,shared,sub-1000,kid
12,within,0.7246629075856874,within,sub-1000,kid
13,boundary,0.5894895673223266,unique,sub-1000,kid
14,within,0.9528092056207931,within,sub-1000,kid
15,boundary,0.5441530688041242,shared,sub-1000,kid
16,within,0.24357154383496882,within,sub-1000,kid
17,boundary,0.5357980796650286,unique,sub-1000,kid
18,within,0.36281032389968126,within,sub-1000,kid
19,boundary,0.5530347066161176,shared,sub-1000,kid
20,within,0.3003410482735488,within,sub-1001,kid
21,boundary,0.89721303240932,unique,sub-1001,kid
22,within,1.0460520752986227,within,sub-1001,kid
23,boundary,0.5354992182935603,unique,sub-1001,kid
24,within,0.785805102916283,within,sub-1001,kid
25,boundary,0.9379992692175964,shared,sub-1001,kid
26,within,0.6611512304936453,within,sub-1001,kid
27,boundary,0.6149284495027258,unique,sub-1001,kid
28,within,0.78429030074169,within,sub-1001,kid
29,boundary,0.6529191559444647,unique,sub-1001,kid
30,within,1.3808031602224327,within,sub-1001,kid
31,boundary,0.35963121720296554,shared,sub-1001,kid
32,within,0.4704312508952533,within,sub-1001,kid
33,boundary,0.7331754594635241,unique,sub-1001,kid
34,within,0.48896800603463997,within,sub-1001,kid
35,boundary,0.3840970133850935,shared,sub-1001,kid
36,within,0.8469367178694786,within,sub-1001,kid
37,boundary,0.7468396873242849,unique,sub-1001,kid
38,within,0.6379261238841609,within,sub-1001,kid
39,boundary,0.6239297527016112,shared,sub-1001,kid
40,within,0.7931150434582865,within,sub-1002,kid
41,boundary,0.7768688633527573,unique,sub-1002,kid
42,within,0.5793048946961858,within,sub-1002,kid
43,boundary,0.46487059661021213,unique,sub-1002,kid
44,within,0.43641242672337377,within,sub-1002,kid
45,boundary,0.3863930686749778,shared,sub-1002,kid
46,within,0.6305821031489718,within,sub-1002,kid
47,boundary,0.5247088976925197,unique,sub-1002,kid
48,within,1.1185095961883198,within,sub-1002,kid
49,boundary,0.5197943304653931,unique,sub-1002,kid
