pp,group,group2,age,age_cont,gender,race,g edu,tempord,recog,scaledcorz_within,scaledcorz_ktoa,scaledcorz_adultlike,cantab468,cantab12,kbit,kbit_raw,nbps,scene_number,detail_number,summary,thoughts/emotion,not_quite,not_happen,extTO,intTO,scene_number1,detail_number1,summary1,thoughts/emotion1,not_quite1,not_happen1,extTO1,intTO1
12,A,A,18,,F,W,7,28,20,0.484329359,,0.484329359,3,55,92,79,45,18,64,4,7,2,1,16,56,2,19,1,0,0,0,2,19
13,A,A,21,,F,W,4.5,37,20,0.612943311,,0.612943311,5,9,84,75,51,8,12,1,0,2,0,6,10,0,0,0,0,0,0,0,0
14,A,A,21,,F,W,6,36,16,0.892664289,,0.892664289,20,5,98,88,19,12,27,2,5,1,1,11,26,0,0,0,0,0,0,0,0
15,A,A,21,,F,N,,37,18,0.565701056,,0.565701056,15,28,82,73,43,14,60,6,6,3,0,13,58,0,0,0,0,0,0,0,0
16,A,A,20,,F,B,3,36,20,0.480705584,,0.480705584,21,46,84,73,20,16,38,2,4,5,0,15,35,0,0,0,0,0,0,0,0
17,A,A,19,,M,M,2.5,34,19,0.53170902,,0.53170902,0,42,91,80,137,19,92,7,18,1,0,18,88,1,1,0,0,0,0,0,0
18,A,A,20,,F,W,3.5,35,19,0.699358441,,0.699358441,0,23,100,88,38,13,30,2,0,3,0,13,28,0,0,0,0,0,0,0,0
19,A,A,19,,M,W,5,37,20,0.435414179,,0.435414179,8,13,101,89,28,17,39,1,1,1,0,15,39,0,0,0,0,0,0,0,0
20,A,A,18,,F,B,6,38,20,0.403844361,,0.403844361,0,12,90,77,17,9,18,3,0,0,0,8,18,0,0,0,0,0,0,0,0
21,A,A,18,,F,M,3.5,29,19,0.425388062,,0.425388062,16,41,93,80,33,8,10,4,2,0,1,6,10,0,0,0,0,0,0,0,0
22,A,A,18,,F,B,5,36,19,0.661269923,,0.661269923,0,26,95,82,22,21,80,4,2,1,1,21,75,0,0,0,0,0,0,0,0
23,A,A,18,,F,W,3,38,20,0.344140495,,0.344140495,9,49,97,84,40,12,43,2,1,4,0,12,41,0,0,0,0,0,0,0,0
24,A,A,18,,F,W,2,34,16,0.439432163,,0.439432163,19,42,80,67,17,4,11,2,1,2,1,3,10,0,0,0,0,0,0,0,0
26,A,A,20,,M,W,7,36,20,0.539038843,,0.539038843,6,36,97,85,42,14,66,2,7,2,0,14,61,1,0,1,1,0,0,1,0
29,A,A,21,,F,W,3.5,30,20,0.619952407,,0.619952407,16,53,114,97,33,6,11,1,2,0,0,3,11,0,0,0,0,0,0,0,0
30,A,A,18,,F,B,3.5,31,15,1.028010634,,1.028010634,21,31,90,77,11,8,29,3,3,2,3,8,28,0,0,0,0,0,0,0,0
